Index;Wert
0;16.4480428
1;16.3703727
2;16.3045045
3;16.2468494
4;16.1950948
5;16.1477621
6;17.4891889
7;17.5700987
8;17.5982259
9;17.6699556
10;17.7477016
11;17.9082938
12;18.103914
13;18.2203467
14;18.3193062
15;18.3762049
16;18.3118277
17;18.2431723
18;18.1849052
19;18.1351336
20;18.1029763
21;18.0900028
22;16.6916698
23;16.5541889
24;16.4753705
25;16.4208074
26;16.3779328
27;16.3408463
28;16.3059056
29;16.2690062
30;17.6240103
31;17.7271841
32;17.7900308
33;17.8413248
34;17.8744527
35;17.9455628
36;18.0449871
37;18.118009
38;18.1375229
39;18.1636795
40;18.1790264
41;18.1868488
42;18.1960497
43;18.2080793
44;18.2155993
45;18.2167705
46;16.831505
47;16.7107802
48;16.6416147
49;16.5900745
50;16.5510621
51;16.5199796
52;16.4909618
53;16.4583882
54;17.8252561
55;17.9336699
56;17.9823703
57;18.0585904
58;18.1250045
59;18.2277812
60;18.3745904
61;18.4146294
62;18.5020752
63;18.6109592
64;18.4551505
65;18.3669597
66;18.2884362
67;18.2267104
68;18.1676017
69;18.1117627
70;16.6870741
71;16.5387454
72;16.4455423
73;16.3603662
74;16.2883098
75;16.2392572
76;16.2087142
77;16.2012643
78;17.6055172
79;17.7500142
80;17.8363806
81;17.9684951
82;18.1431158
83;18.3136964
84;18.3038004
85;18.3042964
86;18.3334644
87;18.3026257
88;18.2496858
89;18.1969466
90;18.1518136
91;18.1080563
92;18.0769341
93;18.0547936
94;16.6471734
95;16.4961438
96;16.3856422
97;16.2922567
98;16.2089342
99;16.1337513
100;16.0751367
101;16.0359975
102;17.417236
103;17.5698622
104;17.6870385
105;17.8942025
106;17.9680557
107;18.0770621
108;18.2581337
109;18.24842
110;18.2343078
111;18.239849
112;18.2257405
113;18.1769369
114;18.1017761
115;18.0405953
116;18.0328441
117;18.0335078
118;16.6299235
119;16.4879407
120;16.4028734
121;16.3364103
122;16.2767232
123;16.2224962
124;16.1740075
125;16.1325388
126;17.4929942
127;17.6108509
128;17.6645384
129;17.8366088
130;17.9317468
131;18.0169586
132;18.2396073
133;18.2395959
134;18.2772891
135;18.1927587
136;18.1127986
137;18.039313
138;17.9825233
139;17.9392407
140;17.898323
141;17.8339153
142;16.3915634
143;16.240277
144;16.17912
145;16.1391702
146;16.1068698
147;16.0764974
148;16.0407435
149;16.0295249
150;17.4188869
151;17.531024
152;17.5774888
153;17.7559395
154;17.9414906
155;18.0632371
156;18.170877
157;18.2288768
158;18.260264
159;18.2628824
160;18.1327928
161;18.0483444
162;18.0563564
163;18.1532188
164;18.2401649
165;18.2706244
166;16.8796465
167;16.730901
168;16.6300393
169;16.5487412
170;16.4970482
171;16.4747803
172;16.4547181
173;16.4216519
174;17.7769789
175;17.8684177
176;17.9016538
177;18.0499907
178;18.1744565
179;18.3456507
180;18.4347694
181;18.5217431
182;18.5818046
183;18.571093
184;18.5468937
185;18.3885458
186;18.2941021
187;18.2382805
188;18.2186647
189;18.2031088
190;16.7871588
191;16.629976
192;16.5113773
193;16.430936
194;16.3904343
195;16.3663784
196;16.3426479
197;16.3088664
198;17.6503609
199;17.7320992
200;17.7880793
201;17.8491636
202;17.9230598
203;18.047523
204;18.1804517
205;18.307157
206;18.407014
207;18.4642396
208;18.4687683
209;18.4121822
210;18.3418276
211;18.2776819
212;18.2032403
213;18.1267945
214;16.6755956
215;16.4957251
216;16.3843404
217;16.319996
218;16.2798583
219;16.2669575
220;16.2910953
221;16.3433281
222;17.7903979
223;17.9639405
224;18.0311718
225;18.0901675
226;18.1727884
227;18.2839975
228;18.3554329
229;18.4720338
230;18.4918917
231;18.4915992
232;18.4393258
233;18.3526401
234;18.2819666
235;18.2177232
236;18.1860082
237;18.1725955
238;16.7824094
239;16.6681017
240;16.6071803
241;16.5568974
242;16.5203616
243;16.4926642
244;16.4568325
245;16.4115551
246;17.7557747
247;17.8474533
248;17.8740748
249;17.8925212
250;17.8748743
251;17.8982636
252;18.0085461
253;18.0713865
254;18.2139977
255;18.3803014
256;18.3624493
257;18.3344973
258;18.2905172
259;18.253663
260;18.2367234
261;18.2175403
262;16.8102398
263;16.6692037
264;16.579677
265;16.517997
266;16.4492573
267;16.3876734
268;16.3545403
269;16.3286298
270;17.6830336
271;17.786002
272;17.8527079
273;17.9162006
274;18.0105745
275;18.0507333
276;18.0662433
277;18.1473395
278;18.2230861
279;18.2718317
280;18.2416225
281;18.1574152
282;18.1162397
283;18.0833013
284;18.0621405
285;18.043121
286;16.6348176
287;16.4893064
288;16.3885333
289;16.3198862
290;16.2782935
291;16.248667
292;16.2244968
293;16.2026048
294;17.5679556
295;17.6581791
296;17.7047281
297;17.7507428
298;17.7926384
299;18.0294601
300;18.0914486
301;18.1069679
302;18.0818029
303;18.0993464
304;18.0469738
305;17.992318
306;17.9517044
307;17.9100474
308;17.8815673
309;17.8492066
310;16.4201997
311;16.2500926
312;16.1279516
313;16.029322
314;15.9546327
315;15.895201
316;15.8378595
317;15.7733441
318;17.0961752
319;17.1592458
320;17.243065
321;17.4998499
322;17.6629257
323;17.8775869
324;18.0637707
325;18.2249923
326;18.3526654
327;18.3371434
328;18.2205126
329;18.1050177
330;18.0080978
331;17.9387124
332;17.8917839
333;17.8543321
334;16.4337313
335;16.2797637
336;16.1917378
337;16.1369608
338;16.1126803
339;16.0966806
340;16.0703934
341;16.0243291
342;17.3575615
343;17.4399235
344;17.4855084
345;17.5939188
346;17.6326509
347;17.6344699
348;17.6504196
349;17.6518065
350;17.6932135
351;17.650975
352;17.694144
353;17.6417791
354;17.6228498
355;17.6091558
356;17.600997
357;17.5910238
358;16.1914849
359;16.0529273
360;15.968821
361;15.9099993
362;15.8651127
363;15.837232
364;15.8176259
365;15.7973422
366;17.1645923
367;17.2637544
368;17.314841
369;17.4237343
370;17.4801954
371;17.6073893
372;17.6117006
373;17.6448034
374;17.6868416
375;17.689263
376;17.6542269
377;17.6120039
378;17.582287
379;17.5599275
380;17.5568783
381;17.5569343
382;16.1552795
383;15.9993339
384;15.8955724
385;15.821591
386;15.7514692
387;15.6831642
388;15.632853
389;15.5952985
390;16.9499123
391;17.0536931
392;17.1242457
393;17.2172913
394;17.3165842
395;17.4430196
396;17.4306446
397;17.5010389
398;17.4991227
399;17.5242533
400;17.4626713
401;17.3947113
402;17.321696
403;17.2327232
404;17.1497963
405;17.1741653
406;15.8347523
407;15.7107299
408;15.6185916
409;15.5311843
410;15.4157915
411;15.2516243
412;15.1085365
413;15.0464013
414;16.3875484
415;16.459362
416;16.4883039
417;16.5920272
418;16.691937
419;16.8592338
420;17.0254689
421;17.1561132
422;17.2599746
423;17.301873
424;17.3699022
425;17.1523679
426;17.0016122
427;16.8994224
428;16.7665008
429;16.6545855
430;15.1973759
431;14.997695
432;14.8509745
433;14.7436699
434;14.6757902
435;14.6278213
436;14.5926608
437;14.5648852
438;15.9505798
439;16.0941183
440;16.2161118
441;16.3698211
442;16.6020427
443;16.7689788
444;16.9962982
445;17.1906263
446;17.3566012
447;17.4623446
448;17.5127889
449;17.4939819
450;17.4803478
451;17.4488816
452;17.3623407
453;17.2744731
454;15.8359171
455;15.6745
456;15.5737245
457;15.4952779
458;15.4308834
459;15.3768014
460;15.3256207
461;15.2647089
462;16.6099807
463;16.6714785
464;16.6069142
465;16.5894019
466;16.6206344
467;16.728647
468;16.9953353
469;17.2360858
470;17.4108543
471;17.4850627
472;17.4148059
473;17.3074067
474;17.1964442
475;17.0878948
476;17.017115
477;17.0003786
478;15.610767
479;15.4703353
480;15.369346
481;15.3091453
482;15.3047346
483;15.312656
484;15.3222064
485;15.3252635
486;16.7176535
487;16.8527023
488;16.9247481
489;17.0394221
490;17.1500778
491;17.3722514
492;17.5147835
493;17.6089005
494;17.6463427
495;17.6638603
496;17.6961321
497;17.5733593
498;17.4986884
499;17.4472586
500;17.4200464
501;17.3704982
502;15.8751041
503;15.6141513
504;15.4336198
505;15.3262184
506;15.252472
507;15.176515
508;15.0735455
509;14.96783
510;16.245361
511;16.2467913
512;16.3311525
513;16.5169838
514;16.6914119
515;16.947979
516;17.2436369
517;17.4979937
518;17.6826383
519;17.796543
520;17.8434624
521;17.6728827
522;17.5441804
523;17.4487192
524;17.3558079
525;17.2900074
526;15.9057868
527;15.8407548
528;15.8704804
529;15.9407947
530;16.0210959
531;16.0937212
532;16.1658447
533;16.2304602
534;17.6484132
535;17.7743261
536;17.8188589
537;17.8770685
538;17.9690991
539;17.9699782
540;17.9976834
541;18.0643259
542;18.0821916
543;18.077328
544;18.091484
545;18.0638259
546;18.0249434
547;17.9853874
548;17.9643723
549;17.9268688
550;16.4776961
551;16.297911
552;16.1712108
553;16.0492084
554;15.9341688
555;15.8363227
556;15.7381802
557;15.6426967
558;16.961902
559;17.0446431
560;17.1575194
561;17.3247724
562;17.4173564
563;17.6451984
564;17.8842663
565;18.1145207
566;18.2208035
567;18.3082993
568;18.319578
569;18.2254685
570;18.1950945
571;18.1872478
572;18.190415
573;18.197867
574;16.8180072
575;16.6940731
576;16.6222756
577;16.5569963
578;16.4898453
579;16.4179382
580;16.3341504
581;16.2507596
582;17.5432174
583;17.5810925
584;17.6416114
585;17.8440385
586;18.0885071
587;18.3856714
588;18.6459202
589;18.8605528
590;19.0462311
591;19.1393424
592;19.0448657
593;18.7269036
594;18.5314204
595;18.3897596
596;18.2835355
597;18.2044788
598;16.7616952
599;16.5832319
600;16.469548
601;16.3904801
602;16.3265752
603;16.2835997
604;16.2797392
605;16.2928243
606;17.6956139
607;17.8422634
608;17.9477264
609;18.2221597
610;18.4522048
611;18.6973925
612;18.9390273
613;19.1489277
614;19.3114968
615;19.3634095
616;19.300007
617;19.0628106
618;18.8814052
619;18.734378
620;18.652918
621;18.6070484
622;17.1876173
623;17.0430668
624;16.9572813
625;16.8880275
626;16.8209936
627;16.7719625
628;16.7526584
629;16.7483126
630;18.1191865
631;18.2332468
632;18.3181506
633;18.4182854
634;18.5803859
635;18.8322772
636;18.9543355
637;18.9892413
638;19.0953257
639;19.0846959
640;19.0702126
641;18.9845432
642;18.9139144
643;18.843942
644;18.817533
645;18.8356194
646;17.4618279
647;17.339389
648;17.2667805
649;17.2179285
650;17.1904267
651;17.1700742
652;17.1310643
653;17.0828953
654;18.436896
655;18.5417552
656;18.6359636
657;18.7368899
658;18.7515621
659;18.7690752
660;18.7261898
661;18.6828584
662;18.6482093
663;18.6247445
664;18.5843942
665;18.526024
666;18.4970418
667;18.4569826
668;18.4030494
669;18.37023
670;16.969825
671;16.8372291
672;16.7657835
673;16.7113512
674;16.6540045
675;16.5957431
676;16.5442119
677;16.4739056
678;17.7714716
679;17.8087382
680;17.8155882
681;18.0168783
682;18.2051394
683;18.4172605
684;18.5940533
685;18.7436909
686;18.8763264
687;18.9303385
688;18.9245162
689;18.7089673
690;18.5751982
691;18.4639221
692;18.3737648
693;18.3000912
694;16.8516548
695;16.6724836
696;16.5606026
697;16.4811027
698;16.421875
699;16.389773
700;16.3783789
701;16.3660896
702;17.7377883
703;17.8497915
704;17.9080251
705;18.018261
706;18.1424253
707;18.3136572
708;18.4335102
709;18.5335055
710;18.6182531
711;18.6196436
712;18.6221223
713;18.5824783
714;18.5210841
715;18.456733
716;18.424201
717;18.3873072
718;16.9420944
719;16.7551496
720;16.6335501
721;16.5391956
722;16.461284
723;16.4035829
724;16.3496667
725;16.2884164
726;17.6164235
727;17.7123668
728;17.7910159
729;17.9187082
730;18.0047393
731;18.081139
732;18.1434327
733;18.183164
734;18.187397
735;18.1839806
736;18.2062821
737;18.3534241
738;18.49879
739;18.5210771
740;18.508661
741;18.4835379
742;17.0665178
743;16.9079869
744;16.8011345
745;16.7140232
746;16.6374014
747;16.5677259
748;16.5031099
749;16.4426762
750;17.770553
751;17.8376794
752;17.8516988
753;17.8784086
754;17.9037128
755;17.9940231
756;18.0675474
757;18.1149662
758;18.1404441
759;18.2005205
760;18.1784089
761;18.1361986
762;18.0752517
763;18.0062416
764;17.9233541
765;17.850995
766;16.4170051
767;16.2525706
768;16.1467242
769;16.0658135
770;15.9996942
771;15.9407666
772;15.886247
773;15.836938
774;17.18231
775;17.2789153
776;17.3365947
777;17.597007
778;17.760329
779;17.8395436
780;18.0284074
781;18.1072559
782;18.2277971
783;18.1802579
784;18.105035
785;18.0238789
786;17.9444408
787;17.8696237
788;17.8096391
789;17.7575402
790;16.3219439
791;16.1517292
792;16.0573739
793;16.0107861
794;15.9895201
795;15.9719019
796;15.9571505
797;15.9457309
798;17.3120783
799;17.4059161
800;17.476244
801;17.5578518
802;17.6667482
803;17.7579922
804;17.8677404
805;17.9573529
806;17.9888614
807;17.9897534
808;17.9785933
809;17.9345443
810;17.8596368
811;17.7619844
812;17.6744377
813;17.6163133
814;16.2015487
815;16.0607508
816;15.973085
817;15.9034169
818;15.8518544
819;15.8236951
820;15.8108239
821;15.7996372
822;17.1752067
823;17.2716618
824;17.2954001
825;17.3843789
826;17.6137541
827;17.813935
828;17.8427825
829;17.9131929
830;17.9328978
831;17.9435891
832;17.9283503
833;17.8451497
834;17.7702328
835;17.7154031
836;17.6528235
837;17.6036095
838;16.1721434
839;16.0008638
840;15.8960715
841;15.8264356
842;15.7816328
843;15.7318452
844;15.6801588
845;15.6461949
846;17.0112552
847;17.1185916
848;17.2483056
849;17.408833
850;17.5974911
851;17.7858503
852;17.9507817
853;18.079204
854;18.2298069
855;18.2791277
