Index;Wert
0;100
1;96.3106439
2;96.2945789
3;95.1502578
4;95.0668038
5;94.4313205
6;93.9739431
7;93.1369614
8;93.0788527
9;91.410294
10;90.078279
11;89.5926958
12;89.3011893
13;88.8820518
14;87.0266353
15;86.9036489
16;86.6971899
17;86.6333209
18;85.8873812
19;85.8183105
20;85.6405347
21;84.8844935
22;84.4546206
23;84.3389944
24;83.3414141
25;83.1806924
26;83.0408916
27;82.9802765
28;82.3309346
29;82.1559937
30;81.6082721
31;80.7210625
32;80.7175038
33;80.6227197
34;80.5819796
35;79.2196944
36;79.0824072
37;78.923288
38;78.7378596
39;78.1736255
40;78.1196288
41;78.0691428
42;78.0157666
43;77.9730231
44;77.9378076
45;77.4776224
46;77.4123526
47;77.3008823
48;77.2938241
49;77.2715516
50;77.2156872
51;76.9950236
52;76.7119156
53;76.6799
54;76.6604619
55;76.6182015
56;76.5885637
57;76.4858071
58;76.4794156
59;76.4611752
60;76.2727953
61;76.1772146
62;76.1485159
63;76.1296712
64;76.0990744
65;76.0339997
66;75.9993334
67;75.9036642
68;75.7434629
69;75.7316753
70;75.7011526
71;75.6666697
72;75.2483097
73;75.1412072
74;74.9750216
75;74.9137633
76;74.6717651
77;74.6117745
78;74.4976731
79;74.4193221
80;74.2836618
81;74.2266523
82;74.1567275
83;74.0219144
84;74.0152537
85;73.9542884
86;73.951583
87;73.787859
88;73.6539099
89;73.6442747
90;73.5048322
91;73.3684428
92;73.2746827
93;73.2463497
94;73.2418969
95;73.1831792
96;73.1379779
97;73.1101188
98;73.1062483
99;73.0511931
100;72.8992038
101;72.8863512
102;72.7056674
103;72.6899592
104;72.6843075
105;72.5800978
106;72.5417401
107;72.539091
108;72.4481992
109;72.3712529
110;72.2774579
111;72.206946
112;72.1794129
113;71.9134398
114;71.9049999
115;71.8878001
116;71.8800827
117;71.6932716
118;71.6745899
119;71.6592116
120;71.6454046
121;71.5677595
122;71.5610099
123;71.5206936
124;71.5150021
125;71.5017464
126;71.4982564
127;71.4459599
128;71.3659753
129;71.3134068
130;71.3077709
131;71.3044515
132;71.297033
133;71.1981511
134;71.1941548
135;71.1580331
136;71.0928626
137;71.044756
138;70.9698086
139;70.7555605
140;70.743775
141;70.7269631
142;70.6986348
143;70.6814949
144;70.6010962
145;70.540998
146;70.495462
147;70.4538316
148;70.4283554
149;70.3919077
150;70.3625606
