Index;Wert
0;5.57877389
1;5.10743225
2;5.10347902
3;5.10147357
4;5.09338018
5;5.0582366
6;5.46313941
7;5.55795295
8;5.38154221
9;5.81314939
10;6.6749991
11;6.25351587
12;5.66066754
13;4.85902764
14;5.18650409
15;5.13551811
16;5.16728185
17;5.89008492
18;7.29364053
19;6.04069054
20;7.26792872
21;6.13279456
22;7.93287467
23;8.39030131
24;6.79388202
25;5.0392523
26;4.98354537
27;5.00154898
28;5.03724359
29;5.07473076
30;5.56223163
31;5.58824993
32;5.63160511
33;5.37225527
34;5.26608979
35;5.45614104
36;6.82134061
37;4.78793183
38;5.30940439
39;6.65827823
40;5.38415226
41;5.64064584
42;5.63908113
43;5.96000859
44;5.82929003
45;5.71751604
46;5.87218641
47;6.39186132
48;6.74391493
49;5.43265844
50;5.32091539
51;5.21713892
52;5.09558335
53;5.06914896
54;5.12245538
55;5.13114494
56;5.54856838
57;5.41282914
58;5.03131935
59;4.91623303
60;5.82028078
61;6.49268562
62;6.27627625
63;4.86434123
64;5.2379526
65;6.23367268
66;6.49477648
67;6.39136136
68;6.69527228
69;7.24556562
70;8.03551649
71;8.43022309
72;5.29728757
73;5.13744655
74;5.12361914
75;5.1144761
76;5.09202717
77;5.08725557
78;5.02221114
79;5.32337623
80;5.8712091
81;5.58435168
82;5.29415341
83;4.40918442
84;5.27774629
85;5.05571955
86;4.95706516
87;5.06542408
88;5.32439466
89;5.3617102
90;6.13047318
91;6.47764689
92;6.50953424
93;5.85253889
94;7.32556791
95;6.47240727
96;5.17440368
97;5.14249937
98;5.1013886
99;5.05082817
100;5.04685293
101;5.04290422
102;5.31170702
103;5.70893673
104;5.98532672
105;6.75179921
106;5.24709061
107;5.06439812
108;5.37462036
109;5.10540705
110;5.26831049
111;5.29487991
112;5.2326153
113;5.45919693
114;6.82930009
115;6.71789705
116;6.15617201
117;5.76490243
118;6.22750536
119;6.85032146
120;5.75726127
121;5.11583403
122;5.14142249
123;5.10983893
124;5.11308075
125;5.05804469
126;5.27656726
127;6.12481234
128;6.18240158
129;5.59140223
130;5.16903861
131;4.83256078
132;5.08385017
133;5.36595863
134;5.26383264
135;5.37213165
136;5.36340226
137;5.72282446
138;7.41755906
139;6.24153234
140;5.68567516
141;5.60193632
142;5.93021535
143;7.64867736
144;6.1075684
145;5.34272712
146;5.10990851
147;5.05995085
148;5.06785669
149;5.08028488
150;5.21885602
151;5.58440068
152;5.46519413
153;5.64539321
154;5.41551797
155;4.73234777
156;5.38862379
157;6.00132984
158;7.58312825
159;6.32595411
160;7.28071458
161;6.13799683
162;5.72471027
163;6.17329594
164;7.33322205
165;5.85051219
166;7.60017511
167;6.7200907
168;5.64020766
169;5.08769234
170;5.04693137
171;5.07704023
172;5.08354684
173;5.04460327
174;5.46890608
175;5.55995295
176;5.38774221
177;5.83893261
178;6.39016078
179;5.78655947
180;5.1414377
181;4.38707534
182;4.83992656
183;5.0924285
184;4.94654394
185;5.91888492
186;7.32964053
187;6.09829054
188;7.35432872
189;6.19439456
190;7.63601933
191;8.42230131
192;6.80260607
193;5.0312523
194;4.99234537
195;5.00299978
196;4.99983865
197;5.01541282
198;5.55757098
199;5.61494506
200;5.63467552
201;5.35078392
202;5.10930332
203;5.61869214
204;7.02995429
205;4.93568409
206;5.04927597
207;6.36707219
208;5.27367022
209;5.5181843
210;5.59865349
211;5.93680859
212;5.73009003
213;5.57111604
214;6.39499943
215;6.66411007
216;6.78100421
217;5.43643233
218;5.32788929
219;5.15114267
220;5.00518335
221;5.07474896
222;5.17285538
223;5.1362725
224;5.59816838
225;5.55630939
226;5.20434708
227;4.96625074
228;6.31873763
229;6.41337848
230;6.53200041
231;5.15618041
232;5.22140196
233;6.21393418
234;6.50597648
235;6.38656136
236;6.75847228
237;7.32956562
238;7.72730119
239;8.43882971
240;5.35920718
241;5.10249148
242;5.10361914
243;5.0922761
244;5.03846051
245;5.01445822
246;5.01943942
247;5.33840148
248;5.89750546
249;5.75087922
250;5.79677823
251;5.12293911
252;5.15167882
253;5.0647407
254;4.88496512
255;4.7710426
256;5.25526071
257;5.33406586
258;6.21253754
259;6.61044689
260;6.65113424
261;5.97131759
262;6.97785703
263;6.45399563
264;5.11107035
265;5.11339937
266;5.05725527
267;5.03532817
268;5.05365293
269;5.04187089
270;5.28971777
271;5.61389926
272;5.87484411
273;6.77900202
274;5.27558805
275;5.07542649
276;5.91062209
277;4.7527684
278;4.77731741
279;5.00756888
280;5.11341096
281;5.44239693
282;6.85155089
283;6.66541666
284;6.15777201
285;5.76934504
286;6.22148809
287;6.85795687
288;5.81358492
289;5.12371799
290;5.12835773
291;5.11778595
292;5.1514248
293;5.12499976
294;5.33906726
295;6.128979
296;6.22906824
297;5.79075913
