Index;Wert
0;5.57877389
1;5.57877389
2;5.57877389
3;5.57877389
4;5.10743225
5;5.10743225
6;5.10743225
7;5.10743225
8;5.10347902
9;5.10347902
10;5.10347902
11;5.10347902
12;5.10147357
13;5.10147357
14;5.10147357
15;5.10147357
16;5.09338018
17;5.09338018
18;5.09338018
19;5.09338018
20;5.0582366
21;5.0582366
22;5.0582366
23;5.0582366
24;5.46313941
25;5.46313941
26;5.46313941
27;5.46313941
28;5.55795295
29;5.55795295
30;5.55795295
31;5.55795295
32;5.38154221
33;5.38154221
34;5.38154221
35;5.38154221
36;5.81314939
37;5.81314939
38;5.81314939
39;5.81314939
40;6.6749991
41;6.6749991
42;6.6749991
43;6.6749991
44;6.25351587
45;6.25351587
46;6.25351587
47;6.25351587
48;5.66066754
49;5.66066754
50;5.66066754
51;5.66066754
52;4.85902764
53;4.85902764
54;4.85902764
55;4.85902764
56;5.18650409
57;5.18650409
58;5.18650409
59;5.18650409
60;5.13551811
61;5.13551811
62;5.13551811
63;5.13551811
64;5.16728185
65;5.16728185
66;5.16728185
67;5.16728185
68;5.89008492
69;5.89008492
70;5.89008492
71;5.89008492
72;7.29364053
73;7.29364053
74;7.29364053
75;7.29364053
76;6.04069054
77;6.04069054
78;6.04069054
79;6.04069054
80;7.26792872
81;7.26792872
82;7.26792872
83;7.26792872
84;6.13279456
85;6.13279456
86;6.13279456
87;6.13279456
88;7.93287467
89;7.93287467
90;7.93287467
91;7.93287467
92;8.39030131
93;8.39030131
94;8.39030131
95;8.39030131
96;6.79388202
97;6.79388202
98;6.79388202
99;6.79388202
100;5.0392523
101;5.0392523
102;5.0392523
103;5.0392523
104;4.98354537
105;4.98354537
106;4.98354537
107;4.98354537
108;5.00154898
109;5.00154898
110;5.00154898
111;5.00154898
112;5.03724359
113;5.03724359
114;5.03724359
115;5.03724359
116;5.07473076
117;5.07473076
118;5.07473076
119;5.07473076
120;5.56223163
121;5.56223163
122;5.56223163
123;5.56223163
124;5.58824993
125;5.58824993
126;5.58824993
127;5.58824993
128;5.63160511
129;5.63160511
130;5.63160511
131;5.63160511
132;5.37225527
133;5.37225527
134;5.37225527
135;5.37225527
136;5.26608979
137;5.26608979
138;5.26608979
139;5.26608979
140;5.45614104
141;5.45614104
142;5.45614104
143;5.45614104
144;6.82134061
145;6.82134061
146;6.82134061
147;6.82134061
148;4.78793183
149;4.78793183
150;4.78793183
151;4.78793183
152;5.30940439
153;5.30940439
154;5.30940439
155;5.30940439
156;6.65827823
157;6.65827823
158;6.65827823
159;6.65827823
160;5.38415226
161;5.38415226
162;5.38415226
163;5.38415226
164;5.64064584
165;5.64064584
166;5.64064584
167;5.64064584
168;5.63908113
169;5.63908113
170;5.63908113
171;5.63908113
172;5.96000859
173;5.96000859
174;5.96000859
175;5.96000859
176;5.82929003
177;5.82929003
178;5.82929003
179;5.82929003
180;5.71751604
181;5.71751604
182;5.71751604
183;5.71751604
184;5.87218641
185;5.87218641
186;5.87218641
187;5.87218641
188;6.39186132
189;6.39186132
190;6.39186132
191;6.39186132
192;6.74391493
193;6.74391493
194;6.74391493
195;6.74391493
196;5.43265844
197;5.43265844
198;5.43265844
199;5.43265844
200;5.32091539
201;5.32091539
202;5.32091539
203;5.32091539
204;5.21713892
205;5.21713892
206;5.21713892
207;5.21713892
208;5.09558335
209;5.09558335
210;5.09558335
211;5.09558335
212;5.06914896
213;5.06914896
214;5.06914896
215;5.06914896
216;5.12245538
217;5.12245538
218;5.12245538
219;5.12245538
220;5.13114494
221;5.13114494
222;5.13114494
223;5.13114494
224;5.54856838
225;5.54856838
226;5.54856838
227;5.54856838
228;5.41282914
229;5.41282914
230;5.41282914
231;5.41282914
232;5.03131935
233;5.03131935
234;5.03131935
235;5.03131935
236;4.91623303
237;4.91623303
238;4.91623303
239;4.91623303
240;5.82028078
241;5.82028078
242;5.82028078
243;5.82028078
244;6.49268562
245;6.49268562
246;6.49268562
247;6.49268562
248;6.27627625
249;6.27627625
250;6.27627625
251;6.27627625
252;4.86434123
253;4.86434123
254;4.86434123
255;4.86434123
256;5.2379526
257;5.2379526
258;5.2379526
259;5.2379526
260;6.23367268
261;6.23367268
262;6.23367268
263;6.23367268
264;6.49477648
265;6.49477648
266;6.49477648
267;6.49477648
268;6.39136136
269;6.39136136
270;6.39136136
271;6.39136136
272;6.69527228
273;6.69527228
274;6.69527228
275;6.69527228
276;7.24556562
277;7.24556562
278;7.24556562
279;7.24556562
280;8.03551649
281;8.03551649
282;8.03551649
283;8.03551649
284;8.43022309
285;8.43022309
286;8.43022309
287;8.43022309
288;5.29728757
289;5.29728757
290;5.29728757
291;5.29728757
292;5.13744655
293;5.13744655
294;5.13744655
295;5.13744655
296;5.12361914
297;5.12361914
298;5.12361914
299;5.12361914
300;5.1144761
301;5.1144761
302;5.1144761
303;5.1144761
304;5.09202717
305;5.09202717
306;5.09202717
307;5.09202717
308;5.08725557
309;5.08725557
310;5.08725557
311;5.08725557
312;5.02221114
313;5.02221114
314;5.02221114
315;5.02221114
316;5.32337623
317;5.32337623
318;5.32337623
319;5.32337623
320;5.8712091
321;5.8712091
322;5.8712091
323;5.8712091
324;5.58435168
325;5.58435168
326;5.58435168
327;5.58435168
328;5.29415341
329;5.29415341
330;5.29415341
331;5.29415341
332;4.40918442
333;4.40918442
334;4.40918442
335;4.40918442
336;5.27774629
337;5.27774629
338;5.27774629
339;5.27774629
340;5.05571955
341;5.05571955
342;5.05571955
343;5.05571955
344;4.95706516
345;4.95706516
346;4.95706516
347;4.95706516
348;5.06542408
349;5.06542408
350;5.06542408
351;5.06542408
352;5.32439466
353;5.32439466
354;5.32439466
355;5.32439466
356;5.3617102
357;5.3617102
358;5.3617102
359;5.3617102
360;6.13047318
361;6.13047318
362;6.13047318
363;6.13047318
364;6.47764689
365;6.47764689
366;6.47764689
367;6.47764689
368;6.50953424
369;6.50953424
370;6.50953424
371;6.50953424
372;5.85253889
373;5.85253889
374;5.85253889
375;5.85253889
376;7.32556791
377;7.32556791
378;7.32556791
379;7.32556791
380;6.47240727
381;6.47240727
382;6.47240727
383;6.47240727
384;5.17440368
385;5.17440368
386;5.17440368
387;5.17440368
388;5.14249937
389;5.14249937
390;5.14249937
391;5.14249937
392;5.1013886
393;5.1013886
394;5.1013886
395;5.1013886
396;5.05082817
397;5.05082817
398;5.05082817
399;5.05082817
400;5.04685293
401;5.04685293
402;5.04685293
403;5.04685293
404;5.04290422
405;5.04290422
406;5.04290422
407;5.04290422
408;5.31170702
409;5.31170702
410;5.31170702
411;5.31170702
412;5.70893673
413;5.70893673
414;5.70893673
415;5.70893673
416;5.98532672
417;5.98532672
418;5.98532672
419;5.98532672
420;6.75179921
421;6.75179921
422;6.75179921
423;6.75179921
424;5.24709061
425;5.24709061
426;5.24709061
427;5.24709061
428;5.06439812
429;5.06439812
430;5.06439812
431;5.06439812
432;5.37462036
433;5.37462036
434;5.37462036
435;5.37462036
436;5.10540705
437;5.10540705
438;5.10540705
439;5.10540705
440;5.26831049
441;5.26831049
442;5.26831049
443;5.26831049
444;5.29487991
445;5.29487991
446;5.29487991
447;5.29487991
448;5.2326153
449;5.2326153
450;5.2326153
451;5.2326153
452;5.45919693
453;5.45919693
454;5.45919693
455;5.45919693
456;6.82930009
457;6.82930009
458;6.82930009
459;6.82930009
460;6.71789705
461;6.71789705
462;6.71789705
463;6.71789705
464;6.15617201
465;6.15617201
466;6.15617201
467;6.15617201
468;5.76490243
469;5.76490243
470;5.76490243
471;5.76490243
472;6.22750536
473;6.22750536
474;6.22750536
475;6.22750536
476;6.85032146
477;6.85032146
478;6.85032146
479;6.85032146
480;5.75726127
481;5.75726127
482;5.75726127
483;5.75726127
484;5.11583403
485;5.11583403
486;5.11583403
487;5.11583403
488;5.14142249
489;5.14142249
490;5.14142249
491;5.14142249
492;5.10983893
493;5.10983893
494;5.10983893
495;5.10983893
496;5.11308075
497;5.11308075
498;5.11308075
499;5.11308075
500;5.05804469
501;5.05804469
502;5.05804469
503;5.05804469
504;5.27656726
505;5.27656726
506;5.27656726
507;5.27656726
508;6.12481234
509;6.12481234
510;6.12481234
511;6.12481234
512;6.18240158
513;6.18240158
514;6.18240158
515;6.18240158
516;5.59140223
517;5.59140223
518;5.59140223
519;5.59140223
520;5.16903861
521;5.16903861
522;5.16903861
523;5.16903861
524;4.83256078
525;4.83256078
526;4.83256078
527;4.83256078
528;5.08385017
529;5.08385017
530;5.08385017
531;5.08385017
532;5.36595863
533;5.36595863
534;5.36595863
535;5.36595863
536;5.26383264
537;5.26383264
538;5.26383264
539;5.26383264
540;5.37213165
541;5.37213165
542;5.37213165
543;5.37213165
544;5.36340226
545;5.36340226
546;5.36340226
547;5.36340226
548;5.72282446
549;5.72282446
550;5.72282446
551;5.72282446
552;7.41755906
553;7.41755906
554;7.41755906
555;7.41755906
556;6.24153234
557;6.24153234
558;6.24153234
559;6.24153234
560;5.68567516
561;5.68567516
562;5.68567516
563;5.68567516
564;5.60193632
565;5.60193632
566;5.60193632
567;5.60193632
568;5.93021535
569;5.93021535
570;5.93021535
571;5.93021535
572;7.64867736
573;7.64867736
574;7.64867736
575;7.64867736
576;6.1075684
577;6.1075684
578;6.1075684
579;6.1075684
580;5.34272712
581;5.34272712
582;5.34272712
583;5.34272712
584;5.10990851
585;5.10990851
586;5.10990851
587;5.10990851
588;5.05995085
589;5.05995085
590;5.05995085
591;5.05995085
592;5.06785669
593;5.06785669
594;5.06785669
595;5.06785669
596;5.08028488
597;5.08028488
598;5.08028488
599;5.08028488
600;5.21885602
601;5.21885602
602;5.21885602
603;5.21885602
604;5.58440068
605;5.58440068
606;5.58440068
607;5.58440068
608;5.46519413
609;5.46519413
610;5.46519413
611;5.46519413
612;5.64539321
613;5.64539321
614;5.64539321
615;5.64539321
616;5.41551797
617;5.41551797
618;5.41551797
619;5.41551797
620;4.73234777
621;4.73234777
622;4.73234777
623;4.73234777
624;5.38862379
625;5.38862379
626;5.38862379
627;5.38862379
628;6.00132984
629;6.00132984
630;6.00132984
631;6.00132984
632;7.58312825
633;7.58312825
634;7.58312825
635;7.58312825
636;6.32595411
637;6.32595411
638;6.32595411
639;6.32595411
640;7.28071458
641;7.28071458
642;7.28071458
643;7.28071458
644;6.13799683
645;6.13799683
646;6.13799683
647;6.13799683
648;5.72471027
649;5.72471027
650;5.72471027
651;5.72471027
652;6.17329594
653;6.17329594
654;6.17329594
655;6.17329594
656;7.33322205
657;7.33322205
658;7.33322205
659;7.33322205
660;5.85051219
661;5.85051219
662;5.85051219
663;5.85051219
664;7.60017511
665;7.60017511
666;7.60017511
667;7.60017511
668;6.7200907
669;6.7200907
670;6.7200907
671;6.7200907
672;5.64020766
673;5.64020766
674;5.64020766
675;5.64020766
676;5.08769234
677;5.08769234
678;5.08769234
679;5.08769234
680;5.04693137
681;5.04693137
682;5.04693137
683;5.04693137
684;5.07704023
685;5.07704023
686;5.07704023
687;5.07704023
688;5.08354684
689;5.08354684
690;5.08354684
691;5.08354684
692;5.04460327
693;5.04460327
694;5.04460327
695;5.04460327
696;5.46890608
697;5.46890608
698;5.46890608
699;5.46890608
700;5.55995295
701;5.55995295
702;5.55995295
703;5.55995295
704;5.38774221
705;5.38774221
706;5.38774221
707;5.38774221
708;5.83893261
709;5.83893261
710;5.83893261
711;5.83893261
712;6.39016078
713;6.39016078
714;6.39016078
715;6.39016078
716;5.78655947
717;5.78655947
718;5.78655947
719;5.78655947
720;5.1414377
721;5.1414377
722;5.1414377
723;5.1414377
724;4.38707534
725;4.38707534
726;4.38707534
727;4.38707534
728;4.83992656
729;4.83992656
730;4.83992656
731;4.83992656
732;5.0924285
733;5.0924285
734;5.0924285
735;5.0924285
736;4.94654394
737;4.94654394
738;4.94654394
739;4.94654394
740;5.91888492
741;5.91888492
742;5.91888492
743;5.91888492
744;7.32964053
745;7.32964053
746;7.32964053
747;7.32964053
748;6.09829054
749;6.09829054
750;6.09829054
751;6.09829054
752;7.35432872
753;7.35432872
754;7.35432872
755;7.35432872
756;6.19439456
757;6.19439456
758;6.19439456
759;6.19439456
760;7.63601933
761;7.63601933
762;7.63601933
763;7.63601933
764;8.42230131
765;8.42230131
766;8.42230131
767;8.42230131
768;6.80260607
769;6.80260607
770;6.80260607
771;6.80260607
772;5.0312523
773;5.0312523
774;5.0312523
775;5.0312523
776;4.99234537
777;4.99234537
778;4.99234537
779;4.99234537
780;5.00299978
781;5.00299978
782;5.00299978
783;5.00299978
784;4.99983865
785;4.99983865
786;4.99983865
787;4.99983865
788;5.01541282
789;5.01541282
790;5.01541282
791;5.01541282
792;5.55757098
793;5.55757098
794;5.55757098
795;5.55757098
796;5.61494506
797;5.61494506
798;5.61494506
799;5.61494506
800;5.63467552
801;5.63467552
802;5.63467552
803;5.63467552
804;5.35078392
805;5.35078392
806;5.35078392
807;5.35078392
808;5.10930332
809;5.10930332
810;5.10930332
811;5.10930332
812;5.61869214
813;5.61869214
814;5.61869214
815;5.61869214
816;7.02995429
817;7.02995429
818;7.02995429
819;7.02995429
820;4.93568409
821;4.93568409
822;4.93568409
823;4.93568409
824;5.04927597
825;5.04927597
826;5.04927597
827;5.04927597
828;6.36707219
829;6.36707219
830;6.36707219
831;6.36707219
832;5.27367022
833;5.27367022
834;5.27367022
835;5.27367022
836;5.5181843
837;5.5181843
838;5.5181843
839;5.5181843
840;5.59865349
841;5.59865349
842;5.59865349
843;5.59865349
844;5.93680859
845;5.93680859
846;5.93680859
847;5.93680859
848;5.73009003
849;5.73009003
850;5.73009003
851;5.73009003
852;5.57111604
853;5.57111604
854;5.57111604
855;5.57111604
856;6.39499943
857;6.39499943
858;6.39499943
859;6.39499943
860;6.66411007
861;6.66411007
862;6.66411007
863;6.66411007
864;6.78100421
865;6.78100421
866;6.78100421
867;6.78100421
868;5.43643233
869;5.43643233
870;5.43643233
871;5.43643233
872;5.32788929
873;5.32788929
874;5.32788929
875;5.32788929
876;5.15114267
877;5.15114267
878;5.15114267
879;5.15114267
880;5.00518335
881;5.00518335
882;5.00518335
883;5.00518335
884;5.07474896
885;5.07474896
886;5.07474896
887;5.07474896
888;5.17285538
889;5.17285538
890;5.17285538
891;5.17285538
892;5.1362725
893;5.1362725
894;5.1362725
895;5.1362725
896;5.59816838
897;5.59816838
898;5.59816838
899;5.59816838
900;5.55630939
901;5.55630939
902;5.55630939
903;5.55630939
904;5.20434708
905;5.20434708
906;5.20434708
907;5.20434708
908;4.96625074
909;4.96625074
910;4.96625074
911;4.96625074
912;6.31873763
913;6.31873763
914;6.31873763
915;6.31873763
916;6.41337848
917;6.41337848
918;6.41337848
919;6.41337848
920;6.53200041
921;6.53200041
922;6.53200041
923;6.53200041
924;5.15618041
925;5.15618041
926;5.15618041
927;5.15618041
928;5.22140196
929;5.22140196
930;5.22140196
931;5.22140196
932;6.21393418
933;6.21393418
934;6.21393418
935;6.21393418
936;6.50597648
937;6.50597648
938;6.50597648
939;6.50597648
940;6.38656136
941;6.38656136
942;6.38656136
943;6.38656136
944;6.75847228
945;6.75847228
946;6.75847228
947;6.75847228
948;7.32956562
949;7.32956562
950;7.32956562
951;7.32956562
952;7.72730119
953;7.72730119
954;7.72730119
955;7.72730119
956;8.43882971
957;8.43882971
958;8.43882971
959;8.43882971
960;5.35920718
961;5.35920718
962;5.35920718
963;5.35920718
964;5.10249148
965;5.10249148
966;5.10249148
967;5.10249148
968;5.10361914
969;5.10361914
970;5.10361914
971;5.10361914
972;5.0922761
973;5.0922761
974;5.0922761
975;5.0922761
976;5.03846051
977;5.03846051
978;5.03846051
979;5.03846051
980;5.01445822
981;5.01445822
982;5.01445822
983;5.01445822
984;5.01943942
985;5.01943942
986;5.01943942
987;5.01943942
988;5.33840148
989;5.33840148
990;5.33840148
991;5.33840148
992;5.89750546
993;5.89750546
994;5.89750546
995;5.89750546
996;5.75087922
997;5.75087922
998;5.75087922
999;5.75087922
1000;5.79677823
1001;5.79677823
1002;5.79677823
1003;5.79677823
1004;5.12293911
1005;5.12293911
1006;5.12293911
1007;5.12293911
1008;5.15167882
1009;5.15167882
1010;5.15167882
1011;5.15167882
1012;5.0647407
1013;5.0647407
1014;5.0647407
1015;5.0647407
1016;4.88496512
1017;4.88496512
1018;4.88496512
1019;4.88496512
1020;4.7710426
1021;4.7710426
1022;4.7710426
1023;4.7710426
1024;5.25526071
1025;5.25526071
1026;5.25526071
1027;5.25526071
1028;5.33406586
1029;5.33406586
1030;5.33406586
1031;5.33406586
1032;6.21253754
1033;6.21253754
1034;6.21253754
1035;6.21253754
1036;6.61044689
1037;6.61044689
1038;6.61044689
1039;6.61044689
1040;6.65113424
1041;6.65113424
1042;6.65113424
1043;6.65113424
1044;5.97131759
1045;5.97131759
1046;5.97131759
1047;5.97131759
1048;6.97785703
1049;6.97785703
1050;6.97785703
1051;6.97785703
1052;6.45399563
1053;6.45399563
1054;6.45399563
1055;6.45399563
1056;5.11107035
1057;5.11107035
1058;5.11107035
1059;5.11107035
1060;5.11339937
1061;5.11339937
1062;5.11339937
1063;5.11339937
1064;5.05725527
1065;5.05725527
1066;5.05725527
1067;5.05725527
1068;5.03532817
1069;5.03532817
1070;5.03532817
1071;5.03532817
1072;5.05365293
1073;5.05365293
1074;5.05365293
1075;5.05365293
1076;5.04187089
1077;5.04187089
1078;5.04187089
1079;5.04187089
1080;5.28971777
1081;5.28971777
1082;5.28971777
1083;5.28971777
1084;5.61389926
1085;5.61389926
1086;5.61389926
1087;5.61389926
1088;5.87484411
1089;5.87484411
1090;5.87484411
1091;5.87484411
1092;6.77900202
1093;6.77900202
1094;6.77900202
1095;6.77900202
1096;5.27558805
1097;5.27558805
1098;5.27558805
1099;5.27558805
1100;5.07542649
1101;5.07542649
1102;5.07542649
1103;5.07542649
1104;5.91062209
1105;5.91062209
1106;5.91062209
1107;5.91062209
1108;4.7527684
1109;4.7527684
1110;4.7527684
1111;4.7527684
1112;4.77731741
1113;4.77731741
1114;4.77731741
1115;4.77731741
1116;5.00756888
1117;5.00756888
1118;5.00756888
1119;5.00756888
1120;5.11341096
1121;5.11341096
1122;5.11341096
1123;5.11341096
1124;5.44239693
1125;5.44239693
1126;5.44239693
1127;5.44239693
1128;6.85155089
1129;6.85155089
1130;6.85155089
1131;6.85155089
1132;6.66541666
1133;6.66541666
1134;6.66541666
1135;6.66541666
1136;6.15777201
1137;6.15777201
1138;6.15777201
1139;6.15777201
1140;5.76934504
1141;5.76934504
1142;5.76934504
1143;5.76934504
1144;6.22148809
