Index;Wert
0;0
1;0
2;0
3;0
4;0
5;0
6;2.29312725
7;2.35884933
8;2.43378924
9;2.50144594
10;1.89730327
11;0.901637948
12;0.422380663
13;0.113210191
14;0
15;0
16;0.100306124
17;0.27205127
18;0.470205745
19;0.585936398
20;0.60872947
21;0.59574393
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;1.7192532
31;1.67890718
32;1.56731174
33;1.54473755
34;1.41911581
35;1.24041037
36;0.981508898
37;0.627152721
38;0.546686068
39;0.487683501
40;0.458027838
41;0.447760838
42;0.409887757
43;0.339457549
44;0.305386798
45;0.282392714
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0.831695179
55;0.846298783
56;1.02397663
57;0.983856674
58;0.674075713
59;0.33236466
60;0.045290156
61;0
62;0
63;0
64;0
65;0
66;0.0572955736
67;0.22941091
68;0.415560627
69;0.553012194
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;1.56895035
79;1.44707758
80;1.31064782
81;1.15676436
82;0.768251727
83;0
84;0
85;0
86;0
87;0
88;0.124234555
89;0.325540336
90;0.448396484
91;0.57917749
92;0.614186712
93;0.674244622
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0.0414168412
102;2.32164785
103;2.00312295
104;1.68263435
105;1.55069423
106;1.13831999
107;0.570207886
108;0.0183952479
109;0.138785982
110;0.176399566
111;0.139516919
112;0.199809381
113;0.48706717
114;0.735082709
115;0.832513288
116;0.696443949
117;0.747182844
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;2.1522437
127;2.01013352
128;2.09653528
129;1.87143676
130;1.30956049
131;0.619956177
132;0
133;0.0869610362
134;0
135;0.202277459
136;0.500952501
137;0.764075334
138;0.907543434
139;1.02578114
140;1.15218861
141;1.44522891
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;2.30241134
151;2.34358344
152;2.37822607
153;2.18070367
154;0.918516235
155;0.308678402
156;0.0587756508
157;0.0181533743
158;0.0345181334
159;0.0953540555
160;0.612786662
161;0.780555221
162;0.516494342
163;0.0899657237
164;0
165;0.0123228709
166;0.990475669
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;1.20081763
175;1.28051943
176;1.33392812
177;1.3583216
178;0.514612973
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0.00705403925
189;0.100937511
190;1.07919867
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;1.701739
199;1.73581196
200;1.57151334
201;1.59376823
202;1.17563662
203;0.501329548
204;0.232841016
205;0
206;0
207;0
208;0
209;0.116217345
210;0.306595506
211;0.415621715
212;0.704751176
213;0.847182438
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0.676277666
223;0.53902773
224;0.697609029
225;0.513299717
226;0.361495418
227;0.182391136
228;0.00781557591
229;0
230;0
231;0
232;0.0529186745
233;0.262045541
234;0.373138545
235;0.585372423
236;0.429807629
237;0.529095607
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;1.32359912
247;1.32905421
248;1.49468563
249;1.66790914
250;1.62772815
251;1.52561296
252;1.21723002
253;0.649253758
254;0.225981986
255;0
256;0
257;0.0978122975
258;0.19907883
259;0.2526448
260;0.235625814
261;0.300897967
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;1.54945497
271;1.46271266
272;1.35227961
273;1.31269205
274;1.18450849
275;1.05656297
276;0.952597336
277;0.859578254
278;0.249072655
279;0
280;0.112507687
281;0.463820964
282;0.555976066
283;0.673916471
284;0.675652353
285;0.753805552
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;1.86856624
295;1.99218448
296;1.88844227
297;1.91339895
298;1.75058126
299;1.16768987
300;0.640190495
301;0.409849986
302;0.614473888
303;0.45449137
304;0.689360548
305;0.884556833
306;1.02436633
307;1.15970415
308;1.18776044
309;1.3375394
310;0
311;0
312;0
313;0
314;0
315;0.257916453
316;0.583956861
317;0.930870268
318;3.87664087
319;4.04067336
320;3.32625878
321;3.01765869
322;1.63496349
323;0.311241485
324;0
325;0
326;0
327;0
328;0
329;0.0928867415
330;0.508496351
331;0.72632544
332;0.915803836
333;1.05452438
334;0
335;0
336;0
337;0
