Index;Wert
0;10.3050445
1;11.8574866
2;13.00541
3;13.8996658
4;14.6101532
5;15.1938671
6;29.1097362
7;26.0741103
8;24.3137211
9;21.7895965
10;19.3364529
11;17.5973077
12;16.8634088
13;16.1877136
14;15.7524335
15;15.0957845
16;16.2628578
17;17.3667284
18;18.1448613
19;18.7711151
20;18.517204
21;18.6177885
22;5.2679234
23;8.80680462
24;11.0781382
25;12.6939773
26;13.8979906
27;14.8942309
28;15.6708624
29;16.2767582
30;30.1651783
31;27.0966637
32;25.24585
33;23.542416
34;22.7585223
35;20.4689162
36;18.4084144
37;18.7630239
38;17.5009824
39;17.7322755
40;18.1748292
41;18.4825383
42;18.7453426
43;18.9158837
44;19.2670105
45;19.3829463
46;5.99396124
47;9.4859013
48;11.599261
49;12.9435542
50;13.9133824
51;14.5775805
52;15.0531224
53;15.3594792
54;29.036716
55;25.8052749
56;24.2997935
57;23.0277156
58;21.1469409
59;19.5936359
60;18.7844474
61;18.0651713
62;16.5901522
63;16.9683378
64;17.7654696
65;18.5462415
66;19.077908
67;19.6746025
68;20.3072587
69;20.6892862
70;7.58767211
71;11.1974249
72;13.3635175
73;14.8070907
74;15.7558797
75;16.398532
76;16.8498983
77;17.2223952
78;30.9507348
79;27.7021425
80;25.5444636
81;22.8952077
82;13.7359709
83;16.0337139
84;15.6658389
85;15.9365739
86;0
87;10.4764428
88;14.414743
89;15.9454263
90;16.9411356
91;17.6526729
92;18.1444574
93;18.6392773
94;5.6772746
95;9.63381887
96;12.226351
97;14.1491396
98;15.5267479
99;16.7189161
100;17.7021312
101;18.3934638
102;32.1139572
103;28.5832193
104;26.6254333
105;24.4367595
106;21.8388976
107;15.9305725
108;0.0930873508
109;6.4833911
110;12.0165412
111;10.5836393
112;13.7248307
113;15.9122931
114;17.6209038
115;19.0853259
116;20.0435123
117;20.7710943
118;7.84203785
119;11.546907
120;13.8044319
121;15.1091638
122;15.6828784
123;16.4870773
124;17.4380746
125;18.2040607
126;32.1270675
127;28.996227
128;26.9791686
129;21.1575692
130;18.8023976
131;4.20958687
132;14.1211303
133;13.5295199
134;12.8806974
135;12.3421215
136;14.5385864
137;16.0774941
138;17.0761217
139;18.9257363
140;19.4832801
141;19.6537097
142;6.3218899
143;10.0645128
144;12.5842421
145;14.3450694
146;14.9495754
147;15.5987485
148;16.3680056
149;17.06873
150;31.33879
151;28.3374621
152;26.9919669
153;20.1226672
154;9.16506492
155;0
156;0
157;0
158;10.4787756
159;13.1958221
160;14.6097484
161;15.8498286
162;16.9843503
163;17.7886869
164;17.7166743
165;17.5746675
166;3.78261665
167;6.86202209
168;8.83835754
169;10.2585615
170;11.3798992
171;12.39679
172;13.0994398
173;13.6645181
174;20.5809333
175;20.6871783
176;20.7932534
177;16.6224408
178;1.8206584
179;0
180;6.94077372
181;10.2652526
182;10.3879988
183;10.5105487
184;10.6329025
185;10.7550606
186;10.8770233
187;10.9987909
188;11.1203637
189;11.241742
190;3.94285313
191;7.72140564
192;10.1042526
193;11.6632031
194;11.8457276
195;11.9659456
196;12.0859713
197;12.2058051
198;12.3254471
199;12.4448978
200;12.5641574
201;12.6832262
202;12.8021046
203;12.9207928
204;13.0392912
205;13.1576
206;13.2757195
207;13.3936501
208;13.5113921
209;13.6289457
210;13.7463113
211;13.8634891
212;13.9804795
213;14.0972827
214;3.70197556
215;7.49049486
216;10.0063603
217;11.8888514
218;13.6108892
219;14.7941891
220;14.9096907
221;15.0250076
222;15.9702224
223;16.0838428
224;16.1972815
225;16.3105387
226;16.4236148
227;16.53651
228;14.7433674
229;13.3692517
230;13.3171811
231;14.553113
232;15.3952842
233;16.2817157
234;17.3028814
235;17.4331944
236;17.5444746
237;17.6555768
238;4.6828057
239;8.98731965
240;11.1787048
241;12.2174194
242;12.7152141
243;13.2325863
244;13.9248875
245;14.5470113
246;18.6475335
247;18.7568712
248;18.8660341
249;18.9750223
250;19.0838362
251;16.7505428
252;16.6074361
253;15.9320507
254;15.2414351
255;14.9771881
256;14.3341703
257;15.1232597
258;15.4068266
259;15.4134964
260;16.2014438
261;16.4710676
262;3.22812661
263;6.79472862
264;8.98400267
265;10.5523534
266;11.8414428
267;12.7319953
268;13.1767658
269;13.5922074
270;21.2239292
271;21.3291457
272;21.4341939
273;21.2822956
274;20.6726597
275;19.3973151
276;4.38422833
277;15.1025918
278;14.22956
279;8.43096191
280;12.3896708
281;15.7696842
282;17.2155733
283;17.6632218
284;17.6168484
285;17.83132
286;4.63642246
287;8.21516518
288;10.4880243
289;12.1396782
290;13.4418054
291;14.2976487
292;15.0651978
293;15.6711825
294;23.7032134
295;23.804464
296;23.9055526
297;20.0123789
298;19.3631891
299;19.0383969
300;19.0412943
301;18.9820594
302;18.5600859
303;17.5448398
304;18.0727694
305;18.80009
306;19.0342982
307;19.1587785
308;19.0717482
309;19.1635666
310;5.99558103
311;9.75469389
312;12.1786937
313;13.8941318
314;15.2303976
315;16.3810291
316;17.6385148
317;18.4464212
318;27.725003
319;27.8198203
320;27.3425655
321;23.3539476
322;1.3999153
323;0
324;0
325;0
326;5.80354124
327;5.8818043
328;11.6104873
329;14.7818105
330;16.4029451
331;17.5232832
332;17.9991979
333;18.4766418
334;5.36100128
335;8.94757901
336;11.2053475
337;12.891745
338;14.2090643
339;15.1380632
340;15.8836238
341;16.3897753
342;30.3485514
343;27.2351377
344;25.3614333
345;23.8443456
346;20.3426165
347;20.1070445
348;19.2470834
349;18.3266552
350;16.8732905
351;17.2504253
352;18.027939
353;19.5155154
354;19.9652658
355;20.2116653
356;20.2874874
357;20.4925191
358;7.30700917
359;10.9113364
360;13.1318785
361;14.6694899
362;15.7572603
363;16.5900738
364;17.4209391
365;18.1376129
366;32.0719133
367;28.9434364
368;27.0241452
369;24.7475949
370;23.5562956
371;21.8915786
372;20.7502094
373;20.7166709
374;20.6460736
375;20.2889875
376;20.615934
377;21.391683
378;21.6644622
379;21.9036426
380;21.7472204
381;21.7266987
382;8.27550483
383;11.7285608
384;13.9915542
385;15.5471601
386;16.7344427
387;17.7868881
388;18.5313735
389;19.1079648
390;33.0903233
391;29.9750035
392;28.1677018
393;26.3535569
394;23.6652182
395;22.880518
396;22.4877919
397;22.4893978
398;22.0928237
399;21.938774
400;22.1754197
401;23.2388773
402;23.6068033
403;23.876732
404;24.2472409
405;24.7898665
406;11.8066709
407;15.9015142
408;18.0931786
409;19.0207028
410;19.9329881
411;20.6569128
412;21.0737468
413;21.5268601
414;35.3361849
415;32.6816364
416;31.6984128
417;28.5142511
418;26.3255326
419;24.3668762
420;22.4134111
421;20.9249168
422;20.0542088
423;19.386532
424;19.4442693
425;22.9458803
426;24.4383163
427;25.7351257
428;26.078274
429;26.3962833
430;13.0027047
431;16.3157127
432;18.2647999
433;19.907351
434;21.1073872
435;22.0804209
436;22.931471
437;23.4825983
438;37.3592569
439;34.2678078
440;31.9204974
441;28.3889611
442;27.2627477
443;26.5444264
444;23.5616919
445;21.6536148
446;21.9565551
447;21.7522785
448;21.8386664
449;22.2160872
450;22.3464068
451;22.4527728
452;22.7148779
453;22.7151921
454;9.22770358
455;12.6124853
456;14.6526727
457;16.3395329
458;17.6205645
459;18.4593813
460;19.2052776
461;20.0329935
462;34.1507226
463;31.2867916
464;29.8436016
465;25.8305993
466;24.5218771
467;20.41318
468;19.2356574
469;14.2606671
470;17.0018791
471;17.4450673
472;18.0168713
473;21.302155
474;22.4304086
475;23.5047474
476;24.1175751
477;24.8406742
478;12.0985379
479;16.1401456
480;18.7254265
481;20.4213523
482;21.6537453
483;22.3095085
484;22.794166
485;22.5444706
486;35.7352139
487;32.0199823
488;29.5245347
489;26.4827828
490;24.4334587
491;23.3570703
492;21.7172758
493;20.5961336
494;20.7777135
495;20.0417597
496;20.4930428
497;21.558376
498;22.3152799
499;23.2356549
500;24.4043782
501;25.0210127
502;11.620475
503;15.0640928
504;17.2871298
505;18.8955626
506;19.6599951
507;20.2336888
508;20.6032186
509;20.8499962
510;34.7171713
511;31.6732732
512;29.8083079
513;22.2410128
514;23.5191419
515;20.1436724
516;11.2001306
517;13.6183779
518;0
519;0
520;11.722581
521;17.6791908
522;20.2295845
523;21.2589539
524;22.3921924
525;22.6185776
526;9.49549397
527;13.2338742
528;15.5094096
529;16.9355348
530;17.8255188
531;18.622001
532;19.4327403
533;19.2446588
534;31.7010815
535;27.4164053
536;24.8901501
537;22.2773654
538;5.39546952
539;17.5625782
540;17.1959965
541;16.9371843
542;16.4749071
543;16.4632964
544;16.1564652
545;17.3405852
546;17.6555422
547;18.0226572
548;18.1113057
549;18.2246767
550;4.96123847
551;8.65737772
552;11.068824
553;12.8973269
554;14.4010559
555;15.7448781
556;17.0238699
557;18.5018395
558;32.2036022
559;29.1255941
560;27.5207659
561;22.0680252
562;21.9840133
563;19.188991
564;2.76794262
565;0
566;0
567;13.0235778
568;10.851283
569;15.0775865
570;16.2735874
571;16.9180336
572;17.3411453
573;17.4954029
574;4.01389295
575;7.31246962
576;9.31532814
577;10.7631985
578;11.9621595
579;12.6046343
580;13.3638229
581;14.0090597
582;26.2131372
583;24.8048948
584;22.8456905
585;20.3654046
586;0.392488594
587;13.8558153
588;0
589;0
590;1.27307386
591;2.82787197
592;3.83270314
593;8.54357069
594;11.0310794
595;14.6988098
596;16.2143584
597;17.2071037
598;4.62471537
599;8.82900325
600;11.5596574
601;13.250556
602;14.4064677
603;15.2856442
604;15.9968862
605;16.4601577
606;30.2146009
607;26.9355502
608;24.5538022
609;21.4800789
610;18.7410311
611;0
612;0
613;0
614;0.000278569404
615;0
616;1.93072281
617;8.1464314
618;11.128859
619;13.1289804
620;14.7396183
621;16.0806523
622;3.63975895
623;7.70640755
624;10.1828084
625;11.8692226
626;13.0730106
627;14.0689201
628;14.9553418
629;15.6816892
630;29.5909808
631;26.2884122
632;23.5899517
633;19.8864284
634;15.5893303
635;0
636;0
637;0
638;4.34423618
639;5.79398666
640;6.96285652
641;7.13245924
642;7.2602167
643;7.3877698
644;7.51511887
645;7.64226422
646;1.50077288
647;5.44738445
648;8.02248129
649;8.14881506
650;8.27494674
651;8.40087667
652;8.52660515
653;8.65213251
654;8.77745908
655;8.90258518
656;9.02751112
657;9.15223723
658;9.27676382
659;9.40109122
660;9.52521974
661;9.64914971
662;9.77288143
663;9.89641523
664;10.0197514
665;10.1428903
666;10.2658323
667;10.3885775
668;10.5111264
669;10.6334793
670;1.60057649
671;5.40402312
672;7.77062675
673;9.2269878
674;10.7862623
675;11.3634976
676;11.484487
677;11.6052829
678;11.7258855
679;11.8462953
680;11.9665124
681;12.0865372
682;12.2063701
683;12.3260112
684;12.445461
685;0
686;9.36043654
687;4.55998167
688;5.29520716
689;10.2021008
690;12.2034548
691;13.6379073
