Index;Wert
0;36.4050445
1;11.8992366
2;13.04716
3;13.9414158
4;14.6519032
5;15.2356171
6;29.1514862
7;26.1158603
8;24.3554711
9;21.8313465
10;19.3782029
11;17.6390577
12;16.9051588
13;16.2294636
14;15.7941835
15;15.1375345
16;16.3046078
17;17.4084784
18;18.1866113
19;18.8128651
20;18.558954
21;18.6595385
22;5.3096734
23;8.84855462
24;11.1198882
25;12.7357273
26;13.9397406
27;14.9359809
28;15.7126124
29;16.3185082
30;30.2069283
31;27.1384137
32;25.2876
33;23.584166
34;22.8002723
35;20.5106662
36;18.4501644
37;18.8047739
38;17.5427324
39;17.7740255
40;18.2165792
41;18.5242883
42;18.7870926
43;18.9576337
44;19.3087605
45;19.4246963
46;6.03571124
47;9.5276513
48;11.641011
49;12.9853042
50;13.9551324
51;14.6193305
52;15.0948724
53;15.4012292
54;29.078466
55;25.8470249
56;24.3415435
57;23.0694656
58;21.1886909
59;19.6353859
60;18.8261974
61;18.1069213
62;16.6319022
63;17.0100878
64;17.8072196
65;18.5879915
66;19.119658
67;19.7163525
68;20.3490087
69;20.7310362
70;7.62942211
71;11.2391749
72;13.4052675
73;14.8488407
74;15.7976297
75;16.440282
76;16.8916483
77;17.2641452
78;30.9924848
79;27.7438925
80;25.5862136
81;22.9369577
82;13.7777209
83;16.0754639
84;15.7075889
85;15.9783239
86;9.68671624
87;10.4764428
88;14.414743
89;15.9454263
90;16.9411356
91;17.6526729
92;18.1444574
93;18.6392773
94;5.6772746
95;9.63381887
96;12.226351
97;14.1491396
98;15.5267479
99;16.7189161
100;17.7021312
101;18.3934638
102;32.1139572
103;28.5832193
104;26.6254333
105;24.4367595
106;21.8388976
107;15.9305725
108;0.0930873508
109;6.4833911
110;12.0165412
111;10.5836393
112;13.7248307
113;15.9122931
114;17.6209038
115;19.0853259
116;20.0435123
117;20.7710943
118;7.84203785
119;11.546907
120;13.8044319
121;15.1091638
122;15.6828784
123;16.4870773
124;17.4380746
125;18.2040607
126;32.1270675
127;28.996227
128;26.9791686
129;21.1575692
130;18.8023976
131;4.20958687
132;14.1211303
133;13.5295199
134;12.8806974
135;12.3421215
136;14.5385864
137;16.0774941
138;17.0761217
139;18.9257363
140;19.4832801
141;19.6537097
142;6.3218899
143;10.0645128
144;12.5842421
145;14.3450694
146;14.9495754
147;15.5987485
148;16.3680056
149;17.06873
150;31.33879
151;28.3374621
152;26.9919669
153;20.1226672
154;9.16506492
155;10.111805
156;13.8304433
157;12.4592429
158;10.4787756
159;13.1958221
160;14.6097484
161;15.8498286
162;16.9843503
163;17.7886869
164;17.7166743
165;17.5746675
166;3.78261665
167;6.86202209
168;8.83835754
169;10.2585615
170;11.3798992
