Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_hybrid
SMA America: SB30-1SP-US-40 {208V},208,26.8854,3000,3105.92,365,-5.71444e-06,-3.33244e-05,0.00166095,0.000396299,5.36,480.0,8.50937,155.0,480.0,2019-02-15,N
Fronius International GmbH: Fronius Primo 100-1 208-240 {208V},208,36.2304,9995,10292.2,660,-4.27565e-07,-2.93098e-05,-0.000757629,-0.00278479,0.24,800.0,15.5942,100.0,800.0,2019-03-01,N
ABB: PVI-30-OUTD-S-US-A {208V},208,18.1674,3000,3142.3,310,-8.03947e-06,-1.10257e-05,0.000998581,-0.000287238,0.1,480.0,10.1365,100.0,480.0,2018-10-15,N
SolarEdge Technologies Ltd: NX10000T-US {208V},208,23.9427,8600,8720.86,395,-1.34757e-06,1.46309e-05,0.00356171,0.000861214,5.64,450.0,22.0781,370.0,450.0,NaN,Y
Enphase Energy Inc: IQ6-60-2-US {208V},208,1.22879,230,237.181,32,-4.90807e-05,6.23574e-06,-0.0197464,-0.0646424,0.02,37.0,7.41192,27.0,37.0,2021-03-11,N
Delta Electronics: DES10JB125K01 {480V},480,681.022,125000,128849,900,-1.21314e-07,1.58773e-05,0.00296371,0.000809601,22.4,1000.0,143.166,750.0,1000.0,2020-05-11,N
Ginlong Technologies Co Ltd: RHI-1P10K-HVES-5G {240V},240,46.9903,10005,10278.7,330,-1.64372e-06,-2.82201e-05,-0.00142156,-0.00302157,1.0,450.0,31.1477,230.0,450.0,2020-10-01,Y
GoodWe Technologies Co Ltd: GEC114-1U-US20 {240V},240,39.3275,11391.9,11908.6,300,-1.56872e-06,-3.10692e-05,-0.00439272,-0.0056996,5.61,495.0,39.6954,235.0,495.0,NaN,N
Huawei Technologies Co Ltd: SUN2000-100KTL-USH0 {800V},800,180.746,100000,101448,1120,-8.38884e-08,-1.08228e-05,9.35388e-07,0.00157648,2.61,1200.0,90.5781,880.0,1200.0,NaN,N
KACO new energy GmbH: KACO blueplanet 110 TL3 M1 WM OD IIK0 {480V},480,88.7015,109765,111509,854,-8.15479e-08,9.78636e-06,0.00251055,0.000239877,5.0,1300.0,130.573,705.0,1300.0,NaN,N
Shenzhen Growatt New Energy Co Ltd: GROWATT 10000MTLP-US {208V},208,27.6571,8630,8915.3,480,-1.52377e-06,-2.30297e-05,0.000679878,-3.21525e-05,3.3,550.0,18.5735,330.0,550.0,2018-10-15,N
Sungrow Power Supply Co Ltd: SC1000KU {540V},540,4775.71,1001306,1.03843e+06,1005,-2.0986e-08,1.24377e-05,0.000819678,0.000287823,83.7646,1200.0,1033.26,810.0,1200.0,NaN,Y
Chint Power Systems America: CPS ECB125KTL-M/US-480 {480V},480,268.672,125000,128603,925,-1.01551e-07,2.04023e-05,0.00109184,-0.000119302,5.8,1100.0,139.03,750.0,1100.0,2025-06-23,N
Yaskawa Solectria Solar: PVI 25TL-208 {208V},208,79.0356,25000,25971.3,575,-6.61542e-07,1.5913e-05,0.00180454,0.000250856,2.9,850.0,45.1676,480.0,850.0,2022-09-01,N
Hoymiles Power Electronics Inc: HAS-115LV-USG1 {240V},240,58.3464,9153,9722.41,55,-8.88284e-07,-0.00127949,-0.0237089,-0.329263,6.6,60.0,176.771,50.0,60.0,2024-08-12,N
LG Electronics Inc: A005KEEN261 {208V},208,20.2513,5000,5122.61,400,-3.30815e-06,1.85138e-05,0.00309169,-0.000388878,1.85,450.0,12.8065,350.0,450.0,2020-05-11,N
Qcells North America: QHOME+ AC-G1-60 {240V},240,77.7696,5732,6025.25,430,-2.60948e-06,-1.16235e-05,-0.000183991,-0.00125975,25.0,500.0,14.0122,360.0,500.0,2024-10-11,N
Darfon Electronics Corp: H5000xxxxxx {240V},240,51.1736,5074,5294.01,360,-3.90585e-06,-3.83796e-05,-0.000772089,-0.00209129,0.43,380.0,14.7056,300.0,380.0,2021-01-11,Y
AIMS Power Inc: PIHY4600 {240V},240,32.2083,4600.42,4704.43,360,1.83058e-06,-4.7989e-06,-0.00065533,-0.00159696,0.55,480.0,13.0679,170.0,480.0,NaN,Y
Afore New Energy Technology (Shanghai) Co Ltd: AF46K-DH {240V},240,32.2083,4600,4704.01,360,1.83058e-06,-4.80053e-06,-0.00065533,-0.00159696,0.55,480.0,13.0667,170.0,480.0,NaN,Y
SMA America: SB30-1SP-US-40 {208V},208,26.8854,3000,3105.92,365,-5.71444e-06,-3.33244e-05,0.00166095,0.000396299,5.36,480.0,8.50937,155.0,480.0,2019-02-15,N
