Energy Storage System List (Full Data)
"Data has not changed since August 21, 2026"
Manufacturer Name,Brand1,Model Number,Technology,PV DC Input Capability,UL 9540 Certification,,,UL 1741 Supplement SB Certification,UL 1741 Supplement SA Testing,UL 1741 SA13 Volt-Var,"UL 1741 SA
Freq-Watt
Volt-Watt","UL 1741 SA
Disable Permit Service
Limit Active Power",Common Smart Inverter Profile Conformance,"Monitor Key Data
Scheduling7",Description,Nameplate Energy Capacity,Nameplate Power,Nominal Voltage,Maximum Continuous Discharge Rate4,"UL 1741 (3rd Ed.) Supplement SB 
Certification",,"UL 1741 Supplement SA 
Certification (SA8-SA13)5",,,"UL 1741 SA
Freq-Watt
Volt-Watt","UL 1741 SA
Disable Permit Service
Limit Active Power",Inverter CSIP Conformance6,,"Monitor Key Data
Scheduling
Attestation7",Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update,Group 1 Anti-Island8,Group 2a Anti-Island8,Group 2b Anti-Island8,Group 2c Anti-Island8,Group 3 Anti-Island8,Group 4 Anti-Island8,Group 5 Anti-Island8,Group 6 Anti-Island8,Others8
,,,,,Certifying Entity,Certificate Date (mm/dd/yyyy),Edition of UL 9540,3rd Edition,SA8-SA13,RPP2,SA14-SA15,SA17-SA18,CSIP3,Attestation,,(kWh),(kW),(Vac),(kW),Certifying Entity,Certificate Date [mo/day/yr],Certifying Entity,Certificate Date [mo/day/yr],Firmware Version(s) Tested,Certificate Date [mo/day/yr],Listing Date (mo/day/yr),Issuing Entity,Document Date (mo/day/yr),Listing Date,"(%, AC-AC)1",,,,(mm/dd/yyyy),(mm/dd/yyyy),G1AI,G2aAI,G2bAI,G2cAI,G3AI,G4AI,G5AI,G6AI,OAI
"Alpha ESS Co., Ltd.",,SMILE-SP7.6 {8.2kWh},Lithium Iron Phosphate,Y,SGS,44719,Ed. 1 : 2016,Y,Y,Y,Y,Y,N,N,"7.6 kW, 8.2 kWh, 240 Vac energy storage system",8.1999999999999993,7.6,240,7.6,CSA Group,[5/5/2022],CSA Group,[4/16/2021],[05],[4/16/2021],44704,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,44704,45352,,,,,,,,,
"Alpha ESS Co., Ltd.",,SMILE-SP9.6 {8.2kWh},Lithium Iron Phosphate,Y,SGS,44719,Ed. 1 : 2016,Y,N,N,N,N,N,N,"9.6 kW, 8.2 kWh, 240 Vac LFP energy storage system",8.1999999999999993,9.6,240,9.6,CSA Group,[5/5/2022],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,44763,45352,,,,,,,,,
"Alpha ESS Co., Ltd.",,SMILE-SPB7.6 {8.2kWh},Lithium Iron Phosphate,N,SGS,44692,Ed. 1 : 2016,Y,N,N,N,N,N,N,"7.6 kW, 8.2 kWh, 240 Vac energy storage system",8.1999999999999993,7.6,240,7.6,CSA Group,[5/5/2022],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,44743,45352,,,,,,,,,
"Alpha ESS Co., Ltd.",,SMILE-SPB9.6 {8.2kWh},Lithium Iron Phosphate,N,SGS,44692,Ed. 1 : 2016,Y,N,N,N,N,N,N,"9.6 kW, 8.2 kWh, 240 Vac energy storage system",8.1999999999999993,9.6,240,9.6,CSA Group,[5/5/2022],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,44743,45352,,,,,,,,,
"Alpha ESS Co., Ltd.",,SMILE-SP7.6 {16.4kWh},Lithium Iron Phosphate,Y,SGS,44719,Ed. 1 : 2016,Y,Y,Y,Y,Y,N,N,"7.6 kW, 16.4 kWh, 240 Vac energy storage system",16.399999999999999,7.6,240,7.6,CSA Group,[5/5/2022],CSA Group,[4/16/2021],[05],[4/16/2021],44704,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,44704,45352,,,,,,,,,
"Alpha ESS Co., Ltd.",,SMILE-SP9.6 {16.4kWh},Lithium Iron Phosphate,Y,SGS,44719,Ed. 1 : 2016,Y,N,N,N,N,N,N,"9.6 kW, 16.4 kWh, 240 Vac LFP energy storage system",16.399999999999999,9.6,240,9.6,CSA Group,[5/5/2022],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,44410,45352,,,,,,,,,
Altenergy Power System Inc.,,APstorage3k-5HG-1P-NA,Lithium Iron Phosphate,N,CSA Group,45135,Ed. 2 : 2020,Y,Y,Y,Y,Y,Y*,Y,"3.68 kW, 4.8 kWh, 240Vac lithium ion energy storage system",4.8,3.68,240,3.68,CSA Group,[5/6/2023],CSA Group,[5/6/2023],[V1.0.13],[5/6/2023],45222,CSA Group,44637,45222,No Information Submitted,No Information Submitted,N,,45222,,,,,,,,,,
Chint Power Systems America,Chint Power Systems America,CPS ES-125kW/261kWh-US,Lithium Iron Phosphate,N,Intertek,45772,Ed. 3 : 2023,Y,Y,Y,Y,Y,Y*,N,"125 kW, 261 kWh, energy storage system",261,125,480,125,CSA Group,[4/16/2025],CSA Group,[4/16/2025],[1.02.00],[4/16/2025],45831,CSA Group,44104,No Information Submitted,85,"Basic, TOU, Advance DR",Y (2025),,45831,46125,Y,N,N,N,N,N,Y,N,No Information Submitted
Chint Power Systems America,Chint Power Systems America,CPS ES-62.5kW/261kWh-US,Lithium Iron Phosphate,N,Intertek,45772,Ed. 3 : 2023,Y,Y,Y,Y,Y,Y*,N,"62.5 kW, 261 kWh, energy storage system",261,62.5,480,62.5,CSA Group,[4/16/2025],CSA Group,[4/16/2025],[1.02.00],[4/16/2025],45831,CSA Group,44104,No Information Submitted,86,"Basic, TOU, Advance DR",Y (2025),,45831,46125,Y,N,N,N,N,N,Y,N,No Information Submitted
