Artikelnummer;Beschreibung;Serie;WP-Typ;Heizleistung_kW;COP;P_el_kW;P_Zusatzheizung_kW;Elektroanschluss;Spannung_V;Phasen;Kältemittel;GWP;Füllmenge_kg;CO2_Äq_t;SWL_dBA;SDP_1m_dBA;Max_VL_°C;dT_K;Volumenstrom_l/h;Masse_kg;Kühlfunktion;EER;Kühlleistung_kW;Min_AT_Heizen_°C;Max_AT_Heizen_°C;Min_AT_Kühlen_°C;Max_AT_Kühlen_°C;Min_VL_°C;Verdichtertyp;Verdichteranzahl;SCOP_W35;SCOP_W55;ηs_W35_%;ηs_W55_%;ErP_W35;ErP_W55;Breite_mm;Höhe_mm;Tiefe_mm;Druckverlust_kPa
HM071HF.U60;LG THERMA V R290 Monobloc 7 kW 1-Phase;R290 Monobloc;Luft/Wasser;7.0;5.4;1.296;3.0;1/N/PE 230V 50Hz;230;1;R290;3;1.05;0.003;49;38;75;5;1205;98;1;4.2;7.0;-28;43;5;48;15;SCROLL;1;5.3;3.6;208;141;A+++;A++;880;1182;440;30
HM091HF.U60;LG THERMA V R290 Monobloc 9 kW 1-Phase;R290 Monobloc;Luft/Wasser;9.0;5.2;1.731;3.0;1/N/PE 230V 50Hz;230;1;R290;3;1.14;0.003;50;39;75;5;1550;100;1;4.1;9.0;-28;43;5;48;15;SCROLL;1;5.1;3.5;200;137;A+++;A++;880;1182;440;35
HM093HFX.U60;LG THERMA V R290 Monobloc 9 kW 3-Phase;R290 Monobloc;Luft/Wasser;9.0;5.2;1.731;3.0;3/N/PE 400V 50Hz;400;3;R290;3;1.14;0.003;50;39;75;5;1550;102;1;4.1;9.0;-28;43;5;48;15;SCROLL;1;5.1;3.5;200;137;A+++;A++;880;1182;440;35
HM121HF.UB60;LG THERMA V R290 Monobloc 12 kW 1-Phase;R290 Monobloc;Luft/Wasser;12.0;4.9;2.449;6.0;1/N/PE 230V 50Hz;230;1;R290;3;1.38;0.004;58;47;75;5;2070;110;1;3.95;10.0;-28;43;5;48;15;SCROLL;1;4.95;3.5;194;137;A+++;A+++;880;1320;440;42
HM123HF.UB60;LG THERMA V R290 Monobloc 12 kW 3-Phase;R290 Monobloc;Luft/Wasser;12.0;4.9;2.449;6.0;3/N/PE 400V 50Hz;400;3;R290;3;1.38;0.004;58;47;75;5;2070;112;1;3.95;10.0;-28;43;5;48;15;SCROLL;1;4.95;3.5;194;137;A+++;A+++;880;1320;440;42
HM141HF.UB60;LG THERMA V R290 Monobloc 14 kW 1-Phase;R290 Monobloc;Luft/Wasser;14.0;4.7;2.979;6.0;1/N/PE 230V 50Hz;230;1;R290;3;1.5;0.004;60;49;75;5;2415;115;1;3.85;12.0;-28;43;5;48;15;SCROLL;1;4.8;3.42;188;134;A+++;A+++;880;1320;440;45
HM143HF.UB60;LG THERMA V R290 Monobloc 14 kW 3-Phase;R290 Monobloc;Luft/Wasser;14.0;4.7;2.979;6.0;3/N/PE 400V 50Hz;400;3;R290;3;1.5;0.004;60;49;75;5;2415;117;1;3.85;12.0;-28;43;5;48;15;SCROLL;1;4.8;3.42;188;134;A+++;A+++;880;1320;440;45
HM161HF.UB60;LG THERMA V R290 Monobloc 16 kW 1-Phase;R290 Monobloc;Luft/Wasser;16.0;4.55;3.516;6.0;1/N/PE 230V 50Hz;230;1;R290;3;1.64;0.005;62;51;75;5;2760;120;1;3.8;14.0;-28;43;5;48;15;SCROLL;1;4.68;3.35;183;131;A+++;A+++;880;1320;440;48
HM163HF.UB60;LG THERMA V R290 Monobloc 16 kW 3-Phase;R290 Monobloc;Luft/Wasser;16.0;4.55;3.516;6.0;3/N/PE 400V 50Hz;400;3;R290;3;1.64;0.005;62;51;75;5;2760;122;1;3.8;14.0;-28;43;5;48;15;SCROLL;1;4.68;3.35;183;131;A+++;A+++;880;1320;440;48
HM051MR.U44;LG THERMA V R32 Monobloc S 5 kW 1Ø;R32 Monobloc S;Luft/Wasser;5.0;4.7;1.064;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.15;0.776;55;44;65;5;862;78;1;3.5;5.0;-25;35;5;48;15;SCROLL;1;4.46;3.2;175;125;A+++;A++;880;978;440;40
HM071MR.U44;LG THERMA V R32 Monobloc S 7 kW 1Ø;R32 Monobloc S;Luft/Wasser;7.0;4.7;1.489;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.15;0.776;57;46;65;5;1205;82;1;3.5;7.0;-25;35;5;48;15;SCROLL;1;4.46;3.2;175;125;A+++;A++;880;978;440;42
HM091MR.U44;LG THERMA V R32 Monobloc S 9 kW 1Ø;R32 Monobloc S;Luft/Wasser;9.0;4.6;1.957;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;58;47;65;5;1550;90;1;3.5;9.0;-25;35;5;48;15;SCROLL;1;4.48;3.2;176;125;A+++;A++;880;1320;440;44
HM093MR.U44;LG THERMA V R32 Monobloc S 9 kW 3Ø;R32 Monobloc S;Luft/Wasser;9.0;4.6;1.957;3.0;3/N/PE 400V 50Hz;400;3;R32;675;1.5;1.012;58;47;65;5;1550;92;1;3.5;9.0;-25;35;5;48;15;SCROLL;1;4.55;3.2;179;125;A+++;A++;880;1320;440;44
HM121MR.U34;LG THERMA V R32 Monobloc S 12 kW 1Ø;R32 Monobloc S;Luft/Wasser;12.0;4.9;2.449;6.0;1/N/PE 230V 50Hz;230;1;R32;675;2.1;1.417;62;51;65;5;2070;108;1;3.5;12.0;-25;35;5;48;15;SCROLL;1;4.67;3.47;184;136;A+++;A++;880;1320;440;47
HM123MR.U34;LG THERMA V R32 Monobloc S 12 kW 3Ø;R32 Monobloc S;Luft/Wasser;12.0;4.9;2.449;6.0;3/N/PE 400V 50Hz;400;3;R32;675;2.1;1.417;62;51;65;5;2070;110;1;3.5;12.0;-25;35;5;48;15;SCROLL;1;4.67;3.47;184;136;A+++;A++;880;1320;440;47
HM141MR.U34;LG THERMA V R32 Monobloc S 14 kW 1Ø;R32 Monobloc S;Luft/Wasser;14.0;4.8;2.917;6.0;1/N/PE 230V 50Hz;230;1;R32;675;2.1;1.417;63;52;65;5;2415;112;1;3.5;14.0;-25;35;5;48;15;SCROLL;1;4.62;3.46;182;135;A+++;A++;880;1320;440;49
HM143MR.U34;LG THERMA V R32 Monobloc S 14 kW 3Ø;R32 Monobloc S;Luft/Wasser;14.0;4.8;2.917;6.0;3/N/PE 400V 50Hz;400;3;R32;675;2.1;1.417;63;52;65;5;2415;114;1;3.5;14.0;-25;35;5;48;15;SCROLL;1;4.62;3.46;182;135;A+++;A++;880;1320;440;49
HM161MR.U34;LG THERMA V R32 Monobloc S 16 kW 1Ø;R32 Monobloc S;Luft/Wasser;16.0;4.7;3.404;6.0;1/N/PE 230V 50Hz;230;1;R32;675;2.4;1.62;64;53;65;5;2760;118;1;3.5;16.0;-25;35;5;48;15;SCROLL;1;4.53;3.45;178;135;A+++;A++;880;1320;440;51
HM163MR.U34;LG THERMA V R32 Monobloc S 16 kW 3Ø;R32 Monobloc S;Luft/Wasser;16.0;4.7;3.404;6.0;3/N/PE 400V 50Hz;400;3;R32;675;2.4;1.62;64;53;65;5;2760;120;1;3.5;16.0;-25;35;5;48;15;SCROLL;1;4.53;3.45;178;135;A+++;A++;880;1320;440;51
HU041MR.U44;LG THERMA V R32 Split 4 kW 1Ø (Außengerät);R32 Split;Luft/Wasser;4.0;4.8;0.833;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;57;49;65;5;689.4;50;1;3.4;4.0;-25;35;5;48;15;SCROLL;1;4.4;2.95;173;115;A+++;A++;880;734;330;30
HU051MR.U44;LG THERMA V R32 Split 5 kW 1Ø (Außengerät);R32 Split;Luft/Wasser;5.0;4.8;1.042;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;58;50;65;5;860.4;55;1;3.4;5.0;-25;35;5;48;15;SCROLL;1;4.52;3.01;178;117;A+++;A++;950;834;330;30
HU061MR.U44;LG THERMA V R32 Split 6 kW 1Ø (Außengerät);R32 Split;Luft/Wasser;6.0;4.85;1.237;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;59;51;65;5;1032.6000000000001;58;1;3.4;6.0;-25;35;5;48;15;SCROLL;1;4.5;3.0;177;117;A+++;A++;880;734;330;30
HU071MR.U44;LG THERMA V R32 Split 7 kW 1Ø (Außengerät);R32 Split;Luft/Wasser;7.0;4.9;1.429;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;60;52;65;5;1207.2;60;1;3.4;7.0;-25;35;5;48;15;SCROLL;1;4.47;3.0;176;117;A+++;A++;950;834;330;30
HU091MR.U44;LG THERMA V R32 Split 9 kW 1Ø (Außengerät);R32 Split;Luft/Wasser;9.0;4.85;1.856;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;61;53;65;5;1552.2;65;1;3.4;9.0;-25;35;5;48;15;SCROLL;1;4.45;3.03;175;118;A+++;A++;950;834;330;30
HU051MRB.U30;LG THERMA V R32 Hydrosplit 5 kW 1Ø (Außengerät);R32 Hydrosplit;Luft/Wasser;5.0;4.65;1.075;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;58;50;65;5;860.0;60;1;3.3;5.0;-25;35;5;48;15;SCROLL;1;4.35;2.9;171;113;A+++;A++;950;834;330;37
HU071MRB.U30;LG THERMA V R32 Hydrosplit 7 kW 1Ø (Außengerät);R32 Hydrosplit;Luft/Wasser;7.0;4.75;1.474;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;59;51;65;5;1204.0;65;1;3.3;7.0;-25;35;5;48;15;SCROLL;1;4.4;2.95;173;115;A+++;A++;950;834;330;39
HU091MRB.U30;LG THERMA V R32 Hydrosplit 9 kW 1Ø (Außengerät);R32 Hydrosplit;Luft/Wasser;9.0;4.7;1.915;3.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;60;52;65;5;1548.0;70;1;3.3;9.0;-25;35;5;48;15;SCROLL;1;4.38;2.98;172;116;A+++;A++;950;834;330;41
HU121MRB.U30;LG THERMA V R32 Hydrosplit 12 kW 1Ø (Außengerät);R32 Hydrosplit;Luft/Wasser;12.0;4.8;2.5;6.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;62;54;65;5;2064.0;85;1;3.3;12.0;-25;35;5;48;15;SCROLL;1;4.55;3.35;179;131;A+++;A++;1090;1320;330;44
HU141MRB.U30;LG THERMA V R32 Hydrosplit 14 kW 1Ø (Außengerät);R32 Hydrosplit;Luft/Wasser;14.0;4.7;2.979;6.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;63;55;65;5;2408.0;90;1;3.3;14.0;-25;35;5;48;15;SCROLL;1;4.48;3.3;176;129;A+++;A++;1090;1320;330;46
HU161MRB.U30;LG THERMA V R32 Hydrosplit 16 kW 1Ø (Außengerät);R32 Hydrosplit;Luft/Wasser;16.0;4.6;3.478;6.0;1/N/PE 230V 50Hz;230;1;R32;675;1.5;1.012;64;56;65;5;2752.0;95;1;3.3;16.0;-25;35;5;48;15;SCROLL;1;4.4;3.25;173;127;A+++;A++;1090;1320;330;48
WH20S.F5;LG THERMA V Brauchwasser-WP 200L;Brauchwasser-WP;Brauchwasser;1.85;3.2;0.578;1.5;1/N/PE 230V 50Hz;230;1;R134a;1430;0.65;0.929;50;40;65;10;0;72;0;0.0;0.0;5;43;0;0;15;ROTARY;1;0.0;0.0;0;0;A+;;630;1560;630;0
WH27S.F5;LG THERMA V Brauchwasser-WP 270L;Brauchwasser-WP;Brauchwasser;1.85;3.2;0.578;1.5;1/N/PE 230V 50Hz;230;1;R134a;1430;0.65;0.929;50;40;65;10;0;82;0;0.0;0.0;5;43;0;0;15;ROTARY;1;0.0;0.0;0;0;A+;;630;1860;630;0
